0	1
2	1
3	1
4	1
5	1
6	1
7	1
8	6
8	1
9	1
10	1
10	2
11	1
12	1
12	4
13	1
14	13
14	1
15	1
16	1
17	1
17	0
17	3
18	2
18	1
19	1
19	2
20	1
21	1
21	2
22	1
23	1
24	1
25	1
26	1
27	1
28	1
28	2
28	18
28	19
29	1
30	1
31	13
31	14
31	1
31	0
32	1
33	1
34	1
35	0
35	1
36	1
36	18
36	20
37	38
37	1
39	1
40	0
40	1
41	1
42	0
42	1
43	1
44	25
44	1
45	1
45	3
46	1
46	17
46	3
47	1
47	0
48	1
48	23
49	0
49	13
49	1
50	1
50	2
51	1
51	2
51	18
51	21
51	7
52	23
52	22
52	1
53	1
53	25
54	1
54	2
54	18
55	20
55	1
56	20
56	1
57	20
57	36
57	18
57	1
58	1
58	3
59	1
60	1
38	1
38	0
61	53
61	1
61	4
61	25
62	1
62	0
63	1
63	2
63	64
65	1
66	0
66	1
67	0
67	23
67	1
64	1
64	2
64	18
64	7
64	50
64	51
68	1
69	70
69	2
69	71
69	21
69	24
69	1
69	18
72	1
72	36
72	73
74	1
74	0
74	35
74	17
75	1
75	19
76	1
76	36
76	18
76	28
77	1
77	3
78	1
78	17
78	31
73	20
73	2
73	18
73	1
79	1
79	0
79	35
79	17
80	1
71	1
71	2
71	18
71	51
81	19
81	27
81	1
82	1
82	17
83	20
83	1
84	81
84	1
85	1
85	37
86	1
86	22
87	1
87	20
88	1
88	19
89	1
89	0
90	1
90	35
90	17
91	19
91	1
91	67
70	1
92	1
93	1
93	2
